OID_,Value,Count,CLASSNAMES,R,G,B,RED,GREEN,BLUE
208,341,3610.000000000000000,Herb Cover = 41%,255,162,69,1.000000000000000,0.635294000000000,0.270588000000000
209,342,11621.000000000000000,Herb Cover = 42%,255,161,66,1.000000000000000,0.631373000000000,0.258824000000000
210,343,55239.000000000000000,Herb Cover = 43%,255,158,66,1.000000000000000,0.619608000000000,0.258824000000000
211,344,117548.000000000000000,Herb Cover = 44%,255,158,66,1.000000000000000,0.619608000000000,0.258824000000000
212,345,96614.000000000000000,Herb Cover = 45%,255,156,64,1.000000000000000,0.611765000000000,0.250980000000000
213,346,46654.000000000000000,Herb Cover = 46%,255,153,64,1.000000000000000,0.600000000000000,0.250980000000000
214,347,15045.000000000000000,Herb Cover = 47%,255,152,61,1.000000000000000,0.596078000000000,0.239216000000000
215,348,6401.000000000000000,Herb Cover = 48%,255,152,61,1.000000000000000,0.596078000000000,0.239216000000000
216,349,6495.000000000000000,Herb Cover = 49%,255,147,59,1.000000000000000,0.576471000000000,0.231373000000000
217,350,8880.000000000000000,Herb Cover = 50%,255,147,59,1.000000000000000,0.576471000000000,0.231373000000000
218,351,10702.000000000000000,Herb Cover = 51%,255,146,56,1.000000000000000,0.572549000000000,0.219608000000000
219,352,14144.000000000000000,Herb Cover = 52%,255,142,56,1.000000000000000,0.556863000000000,0.219608000000000
220,353,17403.000000000000000,Herb Cover = 53%,255,141,54,1.000000000000000,0.552941000000000,0.211765000000000
221,354,22230.000000000000000,Herb Cover = 54%,255,141,54,1.000000000000000,0.552941000000000,0.211765000000000
222,355,267884.000000000000000,Herb Cover = 55%,255,137,54,1.000000000000000,0.537255000000000,0.211765000000000
223,356,30389.000000000000000,Herb Cover = 56%,255,136,51,1.000000000000000,0.533333000000000,0.200000000000000
224,357,33731.000000000000000,Herb Cover = 57%,255,136,51,1.000000000000000,0.533333000000000,0.200000000000000
225,358,35184.000000000000000,Herb Cover = 58%,255,135,48,1.000000000000000,0.529412000000000,0.188235000000000
226,359,35668.000000000000000,Herb Cover = 59%,255,131,48,1.000000000000000,0.513725000000000,0.188235000000000
227,360,34305.000000000000000,Herb Cover = 60%,255,130,46,1.000000000000000,0.509804000000000,0.180392000000000
228,361,31806.000000000000000,Herb Cover = 61%,255,130,46,1.000000000000000,0.509804000000000,0.180392000000000
229,362,28307.000000000000000,Herb Cover = 62%,255,124,43,1.000000000000000,0.486275000000000,0.168627000000000
230,363,24109.000000000000000,Herb Cover = 63%,255,124,43,1.000000000000000,0.486275000000000,0.168627000000000
231,364,20080.000000000000000,Herb Cover = 64%,255,123,41,1.000000000000000,0.482353000000000,0.160784000000000
232,365,16184.000000000000000,Herb Cover = 65%,255,119,41,1.000000000000000,0.466667000000000,0.160784000000000
233,366,12672.000000000000000,Herb Cover = 66%,255,119,41,1.000000000000000,0.466667000000000,0.160784000000000
234,367,9612.000000000000000,Herb Cover = 67%,255,118,38,1.000000000000000,0.462745000000000,0.149020000000000
235,368,7023.000000000000000,Herb Cover = 68%,255,114,38,1.000000000000000,0.447059000000000,0.149020000000000
236,369,5229.000000000000000,Herb Cover = 69%,255,112,36,1.000000000000000,0.439216000000000,0.141176000000000
237,370,3763.000000000000000,Herb Cover = 70%,255,112,36,1.000000000000000,0.439216000000000,0.141176000000000
238,371,2728.000000000000000,Herb Cover = 71%,255,107,33,1.000000000000000,0.419608000000000,0.129412000000000
239,372,1844.000000000000000,Herb Cover = 72%,255,107,33,1.000000000000000,0.419608000000000,0.129412000000000
240,373,1283.000000000000000,Herb Cover = 73%,255,105,31,1.000000000000000,0.411765000000000,0.121569000000000
241,374,1454.000000000000000,Herb Cover = 74%,255,102,31,1.000000000000000,0.400000000000000,0.121569000000000
242,375,2267.000000000000000,Herb Cover = 75%,255,100,28,1.000000000000000,0.392157000000000,0.109804000000000
243,376,127.000000000000000,Herb Cover = 76%,255,100,28,1.000000000000000,0.392157000000000,0.109804000000000
244,377,12.000000000000000,Herb Cover = 77%,255,100,28,1.000000000000000,0.392157000000000,0.109804000000000
245,378,42.000000000000000,Herb Cover = 78%,255,94,25,1.000000000000000,0.368627000000000,0.098039000000000
246,379,15.000000000000000,Herb Cover = 79%,255,94,25,1.000000000000000,0.368627000000000,0.098039000000000
247,380,5.000000000000000,Herb Cover = 80%,255,93,23,1.000000000000000,0.364706000000000,0.090196000000000
